CUST_ID,P_ACQ_1,ETHNICITY
10000129,0.0196,Orange
10000130,0.0262,Orange
10000131,0.0214,Apple
10000132,0.0364,Lemon
10000133,0.022,Orange
10000134,0.0364,Orange
10000135,0.015,Apple
10000136,0.004,Lemon
10000137,0.0106,Lemon
10000138,0.0077,Apple
10000139,0.0114,Apple
10000140,0.0379,Orange
10000141,0.0327,Orange
10000142,0.0022,Orange
10000143,0.0,Orange
10000144,0.0395,Orange
10000145,0.0246,Lemon
10000146,0.0376,Orange
10000147,0.0162,Orange
10000148,0.0134,Orange
10000149,0.0053,Orange
10000150,0.0103,Apple
10000151,0.0359,Lemon
10000152,0.0,Lemon
10000153,0.0335,Orange
10000154,0.0179,Orange
10000155,0.0362,Lemon
10000156,0.0253,Lemon
10000157,0.0185,Lemon
10000158,0.0379,Apple
10000159,0.026,Orange
10000160,0.0123,Lemon
10000161,0.0161,Apple
10000162,0.0208,Apple
10000163,0.0056,Apple
10000164,0.0032,Orange
10000165,0.0142,Apple
10000166,0.0147,Lemon
10000167,0.0246,Lemon
10000168,0.027,Apple
10000169,0.0226,Lemon
10000170,0.0044,Orange
10000171,0.03,Orange
10000172,0.0032,Apple
10000173,0.0349,Orange
10000174,0.0328,Apple
10000175,0.0222,Orange
10000176,0.0111,Apple
10000177,0.009,Apple
10000178,0.0246,Apple
10000179,0.0063,Lemon
10000180,0.0342,Orange
10000181,0.007,Apple
10000182,0.0247,Orange
10000183,0.0374,Lemon
10000184,0.0051,Orange
10000185,0.0184,Lemon
10000186,0.0021,Lemon
10000187,0.006,Orange
10000188,0.0034,Apple
10000189,0.0338,Orange
10000190,0.0112,Lemon
10000191,0.0087,Orange
10000192,0.0287,Apple
10000193,0.0216,Orange
10000194,0.0333,Lemon
10000195,0.0051,Orange
10000196,0.0004,Lemon
10000197,0.0254,Orange
10000198,0.0028,Apple
10000199,0.0137,Lemon
10000200,0.0029,Lemon
10000201,0.0133,Apple
10000202,0.017,Apple
10000203,0.0339,Apple
10000204,0.0199,Orange
10000205,0.015,Apple
10000206,0.0053,Lemon
10000207,0.0195,Apple
10000208,0.0112,Apple
10000209,0.0333,Lemon
10000210,0.0104,Apple
10000211,0.0031,Apple
10000212,0.0364,Lemon
10000213,0.0098,Apple
10000214,0.0167,Orange
10000215,0.031,Orange
10000216,0.0013,Apple
10000217,0.0218,Lemon
10000218,0.0276,Apple
10000219,0.0184,Apple
10000220,0.018,Apple
10000221,0.0354,Orange
10000222,0.0381,Apple
10000223,0.0163,Orange
10000224,0.0228,Lemon
10000225,0.039,Apple
10000226,0.0272,Orange
10000227,0.0205,Orange
10000228,0.0137,Orange
10000229,0.0288,Orange
10000230,0.0014,Lemon
10000231,0.0133,Orange
10000232,0.009,Lemon
10000233,0.0164,Orange
10000234,0.0352,Orange
10000235,0.0368,Lemon
10000236,0.031,Apple
10000237,0.0084,Orange
10000238,0.0041,Orange
10000239,0.0176,Apple
10000240,0.0156,Apple
10000241,0.0279,Apple
10000242,0.0117,Apple
10000243,0.033,Apple
10000244,0.0344,Lemon
10000245,0.0383,Lemon
10000246,0.0041,Apple
10000247,0.0041,Apple
10000248,0.0041,Orange
10000249,0.0329,Orange
10000250,0.0197,Orange
10000251,0.0079,Apple
10000252,0.0142,Orange
10000253,0.0319,Lemon
10000254,0.0153,Apple
10000255,0.0001,Orange
10000256,0.0216,Lemon
10000257,0.0295,Lemon
10000258,0.0298,Orange
10000259,0.0217,Apple
10000260,0.0365,Orange
10000261,0.034,Lemon
10000262,0.0217,Lemon
10000263,0.0314,Lemon
10000264,0.0199,Lemon
10000265,0.0322,Lemon
10000266,0.037,Orange
10000267,0.0147,Apple
10000268,0.03,Orange
10000269,0.0246,Lemon
10000270,0.0285,Apple
10000271,0.0054,Orange
10000272,0.0299,Apple
10000273,0.0194,Orange
10000274,0.0184,Lemon
10000275,0.0124,Apple
10000276,0.0253,Lemon
10000277,0.0096,Orange
10000278,0.0088,Orange
10000279,0.0343,Lemon
10000280,0.0261,Orange
10000281,0.0219,Apple
10000282,0.0392,Orange
10000283,0.0201,Apple
10000284,0.0183,Apple
10000285,0.0383,Orange
10000286,0.0374,Lemon
10000287,0.0189,Apple
10000288,0.0133,Apple
10000289,0.034,Apple
10000290,0.0229,Orange
10000291,0.0286,Orange
10000292,0.0152,Orange
10000293,0.0213,Orange
10000294,0.0142,Orange
10000295,0.0307,Lemon
10000296,0.0172,Lemon
10000297,0.0113,Orange
10000298,0.0132,Orange
10000299,0.0274,Apple
10000300,0.0026,Apple
10000301,0.0229,Lemon
10000302,0.0155,Orange
10000303,0.0135,Lemon
10000304,0.0229,Orange
10000305,0.0202,Apple
10000306,0.0255,Orange
10000307,0.0127,Orange
10000308,0.0179,Apple
10000309,0.0147,Apple
10000310,0.0301,Apple
10000311,0.019,Lemon
10000312,0.0332,Lemon
10000313,0.0317,Lemon
10000314,0.0233,Orange
10000315,0.0044,Apple
10000316,0.0295,Lemon
10000317,0.0352,Lemon
10000318,0.0045,Lemon
10000319,0.0344,Apple
10000320,0.0396,Lemon
10000321,0.0028,Apple
10000322,0.0117,Orange
10000323,0.0378,Lemon
10000324,0.0226,Lemon
10000325,0.0175,Lemon
10000326,0.0008,Orange
10000327,0.0296,Lemon
10000328,0.0241,Lemon
10000329,0.0334,Lemon
10000330,0.004,Lemon
10000331,0.0009,Lemon
10000332,0.0301,Orange
10000333,0.028,Apple
10000334,0.0344,Orange
10000335,0.0229,Lemon
10000336,0.0368,Orange
10000337,0.0379,Orange
10000338,0.0288,Lemon
10000339,0.0209,Lemon
10000340,0.0317,Lemon
10000341,0.0215,Orange
10000342,0.016,Apple
10000343,0.0332,Apple
10000344,0.0305,Orange
10000345,0.0248,Apple
10000346,0.0257,Lemon
10000347,0.0128,Apple
10000348,0.0006,Orange
10000349,0.0016,Orange
10000350,0.0251,Lemon
10000351,0.0012,Lemon
10000352,0.032,Orange
10000353,0.0295,Lemon
10000354,0.0382,Lemon
10000355,0.0163,Apple
10000356,0.0137,Lemon
10000357,0.0142,Lemon
10000358,0.0208,Orange
10000359,0.0395,Orange
10000360,0.0029,Orange
10000361,0.0134,Orange
10000362,0.0237,Orange
10000363,0.0193,Orange
10000364,0.0251,Orange
10000365,0.0388,Orange
10000366,0.0088,Lemon
10000367,0.0203,Orange
10000368,0.0306,Apple
10000369,0.0062,Orange
10000370,0.0203,Apple
10000371,0.0125,Lemon
10000372,0.0327,Apple
10000373,0.0391,Apple
10000374,0.014,Orange
10000375,0.0268,Orange
10000376,0.0126,Lemon
10000377,0.039,Orange
10000378,0.0261,Apple
10000379,0.0065,Orange
10000380,0.001,Lemon
10000381,0.0063,Lemon
10000382,0.0397,Orange
10000383,0.0178,Lemon
10000384,0.0394,Orange
10000385,0.0261,Apple
10000386,0.032,Apple
10000387,0.0315,Orange
10000388,0.016,Apple
10000389,0.0309,Apple
10000390,0.0005,Apple
10000391,0.0284,Lemon
10000392,0.0222,Apple
10000393,0.0322,Apple
10000394,0.0071,Lemon
10000395,0.0276,Orange
10000396,0.022,Lemon
10000397,0.0119,Apple
10000398,0.0217,Orange
10000399,0.0152,Lemon
10000400,0.0107,Orange
10000401,0.0184,Orange
10000402,0.0091,Orange
10000403,0.0147,Lemon
10000404,0.03,Apple
10000405,0.0245,Lemon
10000406,0.0302,Orange
10000407,0.0318,Orange
10000408,0.0022,Lemon
10000409,0.0266,Lemon
10000410,0.0317,Apple
10000411,0.0112,Lemon
10000412,0.0052,Orange
10000413,0.0177,Orange
10000414,0.0122,Lemon
10000415,0.032,Orange
10000416,0.034,Lemon
10000417,0.0322,Apple
10000418,0.0152,Lemon
10000419,0.0305,Lemon
10000420,0.0189,Orange
10000421,0.011,Orange
10000422,0.0179,Lemon
10000423,0.0377,Lemon
10000424,0.022,Orange
10000425,0.0389,Lemon
10000426,0.0354,Lemon
10000427,0.0147,Apple
10000428,0.0122,Apple
10000429,0.0382,Lemon
10000430,0.037,Apple
10000431,0.0121,Apple
10000432,0.0377,Apple
10000433,0.0339,Orange
10000434,0.0123,Apple
10000435,0.0121,Orange
10000436,0.0354,Apple
10000437,0.0208,Lemon
10000438,0.0092,Apple
10000439,0.0132,Orange
10000440,0.0145,Apple
10000441,0.0092,Apple
10000442,0.0336,Orange
10000443,0.0128,Apple
10000444,0.0049,Apple
10000445,0.0321,Apple
10000446,0.0133,Apple
10000447,0.0121,Apple
10000448,0.0199,Apple
10000449,0.0168,Lemon
10000450,0.0255,Orange
10000451,0.0359,Lemon
10000452,0.0068,Lemon
10000453,0.0243,Apple
10000454,0.026,Apple
10000455,0.02,Lemon
10000456,0.0175,Apple
10000457,0.0105,Orange
10000458,0.0083,Lemon
10000459,0.0164,Orange
10000460,0.0049,Orange
10000461,0.0123,Orange
10000462,0.0281,Apple
10000463,0.0023,Lemon
10000464,0.0263,Orange
10000465,0.0009,Orange
10000466,0.0142,Orange
10000467,0.0041,Apple
10000468,0.0163,Orange
10000469,0.0023,Apple
10000470,0.0364,Orange
10000471,0.0199,Apple
10000472,0.0154,Orange
10000473,0.0056,Apple
10000474,0.0043,Lemon
10000475,0.0168,Orange
10000476,0.0039,Orange
10000477,0.0104,Apple
10000478,0.0061,Orange
10000479,0.0141,Lemon
10000480,0.0091,Lemon
10000481,0.0151,Lemon
10000482,0.0293,Lemon
10000483,0.0121,Apple
10000484,0.0076,Lemon
10000485,0.0242,Lemon
10000486,0.0031,Lemon
10000487,0.0327,Apple
10000488,0.0038,Apple
10000489,0.0184,Lemon
10000490,0.0021,Lemon
10000491,0.0285,Lemon
10000492,0.0282,Lemon
10000493,0.0209,Orange
10000494,0.038,Lemon
10000495,0.0399,Orange
10000496,0.0369,Lemon
10000497,0.0112,Lemon
10000498,0.0013,Orange
10000499,0.0121,Apple
10000500,0.0219,Orange
10000501,0.0187,Orange
10000502,0.0042,Orange
10000503,0.0111,Lemon
10000504,0.0,Orange
10000505,0.0273,Orange
10000506,0.0048,Lemon
10000507,0.005,Orange
10000508,0.0049,Lemon
10000509,0.0382,Lemon
10000510,0.0203,Apple
10000511,0.008,Apple
10000512,0.0363,Lemon
10000513,0.0017,Apple
10000514,0.0144,Lemon
10000515,0.0037,Orange
10000516,0.0396,Apple
10000517,0.0077,Lemon
10000518,0.0299,Lemon
10000519,0.0105,Apple
10000520,0.02,Apple
10000521,0.0015,Apple
10000522,0.0246,Apple
10000523,0.0025,Lemon
10000524,0.0362,Apple
10000525,0.0002,Apple
10000526,0.0164,Orange
10000527,0.0192,Lemon
10000528,0.0187,Apple
10000529,0.0185,Lemon
10000530,0.0105,Orange
10000531,0.0055,Apple
10000532,0.0389,Lemon
10000533,0.0037,Apple
10000534,0.0286,Apple
10000535,0.0089,Lemon
10000536,0.0241,Lemon
10000537,0.0151,Orange
10000538,0.0152,Orange
10000539,0.0093,Apple
10000540,0.0043,Lemon
10000541,0.0001,Lemon
10000542,0.0316,Orange
10000543,0.0299,Lemon
10000544,0.0251,Lemon
10000545,0.0066,Apple
10000546,0.0118,Orange
10000547,0.0293,Apple
10000548,0.0331,Lemon
10000549,0.0235,Apple
10000550,0.0248,Lemon
10000551,0.0295,Apple
10000552,0.0161,Lemon
10000553,0.0378,Orange
10000554,0.0031,Apple
10000555,0.0122,Apple
10000556,0.0308,Apple
10000557,0.0014,Orange
10000558,0.0131,Lemon
10000559,0.0267,Lemon
10000560,0.0264,Orange
10000561,0.01,Apple
10000562,0.0355,Apple
10000563,0.0113,Apple
10000564,0.0194,Lemon
10000565,0.0167,Lemon
10000566,0.0251,Apple
10000567,0.0185,Lemon
10000568,0.0272,Lemon
10000569,0.0331,Lemon
10000570,0.0187,Orange
10000571,0.0102,Orange
10000572,0.0029,Apple
10000573,0.0198,Lemon
10000574,0.0235,Orange
10000575,0.013,Orange
10000576,0.0127,Apple
10000577,0.0148,Lemon
10000578,0.0201,Orange
10000579,0.0375,Apple
10000580,0.0025,Apple
10000581,0.0203,Apple
10000582,0.0146,Lemon
10000583,0.0292,Lemon
10000584,0.0281,Lemon
10000585,0.023,Orange
10000586,0.0303,Apple
10000587,0.0357,Lemon
10000588,0.0145,Orange
10000589,0.0386,Apple
10000590,0.0099,Orange
10000591,0.0105,Lemon
10000592,0.003,Lemon
10000593,0.0208,Lemon
10000594,0.0275,Apple
10000595,0.0119,Lemon
10000596,0.0179,Lemon
10000597,0.0226,Apple
10000598,0.007,Apple
10000599,0.0249,Lemon
10000600,0.0071,Apple
10000601,0.0018,Lemon
10000602,0.0161,Lemon
10000603,0.029,Orange
10000604,0.0005,Lemon
10000605,0.0253,Apple
10000606,0.035,Apple
10000607,0.0348,Lemon
10000608,0.004,Apple
10000609,0.0116,Apple
10000610,0.0329,Orange
10000611,0.0144,Orange
10000612,0.011,Apple
10000613,0.0376,Lemon
10000614,0.0236,Orange
10000615,0.0392,Lemon
10000616,0.009,Lemon
10000617,0.0179,Apple
10000618,0.0041,Orange
10000619,0.0007,Apple
10000620,0.0251,Orange
10000621,0.0094,Orange
10000622,0.012,Lemon
10000623,0.016,Orange
10000624,0.0225,Lemon
10000625,0.0035,Apple
10000626,0.0086,Apple
10000627,0.0177,Lemon
10000628,0.0018,Orange
10000629,0.0361,Apple
10000630,0.0271,Lemon
10000631,0.0163,Apple
10000632,0.0186,Apple
10000633,0.0023,Lemon
10000634,0.0081,Orange
10000635,0.0071,Orange
10000636,0.0292,Orange
10000637,0.0297,Orange
10000638,0.0143,Apple
10000639,0.0049,Orange
10000640,0.0396,Apple
10000641,0.0385,Lemon
10000642,0.0018,Apple
10000643,0.0023,Lemon
10000644,0.0166,Lemon
10000645,0.0233,Lemon
10000646,0.0388,Orange
10000647,0.0162,Apple
10000648,0.0316,Lemon
10000649,0.0224,Apple
10000650,0.0381,Lemon
10000651,0.0387,Apple
10000652,0.0146,Orange
10000653,0.0394,Lemon
10000654,0.0289,Apple
10000655,0.0354,Apple
10000656,0.0201,Apple
10000657,0.0281,Orange
10000658,0.0167,Lemon
10000659,0.0375,Apple
10000660,0.0237,Apple
10000661,0.0082,Apple
10000662,0.0341,Apple
10000663,0.034,Apple
10000664,0.0347,Apple
10000665,0.0017,Apple
10000666,0.019,Apple
10000667,0.0034,Apple
10000668,0.0201,Lemon
10000669,0.0384,Apple
10000670,0.0016,Lemon
10000671,0.0122,Orange
10000672,0.0174,Orange
10000673,0.0095,Apple
10000674,0.0001,Orange
10000675,0.0131,Lemon
10000676,0.0099,Apple
10000677,0.0293,Apple
10000678,0.0309,Apple
10000679,0.0253,Lemon
10000680,0.0075,Apple
10000681,0.0381,Lemon
10000682,0.0332,Apple
10000683,0.007,Lemon
10000684,0.0378,Orange
10000685,0.0263,Apple
10000686,0.0131,Orange
10000687,0.0003,Orange
10000688,0.0088,Lemon
10000689,0.0327,Lemon
10000690,0.0148,Orange
10000691,0.0042,Lemon
10000692,0.0275,Apple
10000693,0.0126,Lemon
10000694,0.0132,Orange
10000695,0.0351,Orange
10000696,0.02,Lemon
10000697,0.004,Orange
10000698,0.0249,Lemon
10000699,0.011,Orange
10000700,0.0171,Lemon
10000701,0.016,Lemon
10000702,0.0084,Orange
10000703,0.0206,Lemon
10000704,0.0372,Orange
10000705,0.0081,Lemon
10000706,0.0383,Orange
10000707,0.0358,Lemon
10000708,0.0364,Lemon
10000709,0.014,Orange
10000710,0.0398,Apple
10000711,0.0103,Orange
10000712,0.0024,Apple
10000713,0.0113,Orange
10000714,0.016,Lemon
10000715,0.008,Lemon
10000716,0.0037,Apple
10000717,0.0311,Lemon
10000718,0.0137,Orange
10000719,0.0297,Lemon
10000720,0.0224,Lemon
10000721,0.014,Orange
10000722,0.0258,Lemon
10000723,0.012,Lemon
10000724,0.0025,Apple
10000725,0.0069,Apple
10000726,0.0235,Lemon
10000727,0.0113,Apple
10000728,0.0208,Lemon
10000729,0.0231,Lemon
10000730,0.0322,Lemon
10000731,0.0063,Lemon
10000732,0.0218,Apple
10000733,0.0252,Orange
10000734,0.0344,Orange
10000735,0.009,Lemon
10000736,0.0084,Orange
10000737,0.0073,Orange
10000738,0.0335,Orange
10000739,0.02,Lemon
10000740,0.0364,Apple
10000741,0.0346,Lemon
10000742,0.006,Orange
10000743,0.0296,Lemon
10000744,0.03,Apple
10000745,0.0331,Orange
10000746,0.0037,Lemon
10000747,0.0053,Lemon
10000748,0.0374,Apple
10000749,0.0202,Apple
10000750,0.0313,Orange
10000751,0.0216,Lemon
10000752,0.0185,Orange
10000753,0.0126,Apple
10000754,0.017,Lemon
10000755,0.0384,Lemon
10000756,0.0317,Apple
10000757,0.003,Apple
10000758,0.0392,Lemon
10000759,0.0236,Orange
10000760,0.0133,Orange
10000761,0.0025,Apple
10000762,0.0104,Lemon
10000763,0.011,Apple
10000764,0.0177,Orange
10000765,0.0209,Orange
10000766,0.007,Orange
10000767,0.0369,Apple
10000768,0.0114,Lemon
10000769,0.012,Apple
10000770,0.0038,Lemon
10000771,0.029,Orange
10000772,0.0342,Apple
10000773,0.01,Orange
10000774,0.0081,Lemon
10000775,0.0202,Apple
10000776,0.0119,Lemon
10000777,0.0397,Lemon
10000778,0.0389,Lemon
10000779,0.0396,Apple
10000780,0.0137,Lemon
10000781,0.0166,Orange
10000782,0.0061,Apple
10000783,0.0287,Apple
10000784,0.0263,Orange
10000785,0.0075,Orange
10000786,0.0032,Lemon
10000787,0.0042,Orange
10000788,0.0298,Lemon
10000789,0.0326,Lemon
10000790,0.0163,Apple
10000791,0.0235,Apple
10000792,0.001,Apple
10000793,0.0058,Orange
10000794,0.0295,Apple
10000795,0.021,Orange
10000796,0.0155,Apple
10000797,0.0264,Orange
10000798,0.0241,Lemon
10000799,0.0074,Orange
10000800,0.0131,Orange
10000801,0.0225,Lemon
10000802,0.0077,Apple
10000803,0.0284,Apple
10000804,0.0063,Orange
10000805,0.0213,Apple
10000806,0.0109,Lemon
10000807,0.0148,Lemon
10000808,0.0348,Lemon
10000809,0.0215,Lemon
10000810,0.0067,Apple
10000811,0.0323,Orange
10000812,0.0072,Orange
10000813,0.0094,Lemon
10000814,0.0346,Lemon
10000815,0.0199,Apple
10000816,0.0233,Lemon
10000817,0.0334,Lemon
10000818,0.0246,Apple
10000819,0.004,Apple
10000820,0.019,Lemon
10000821,0.0364,Lemon
10000822,0.023,Orange
10000823,0.0314,Orange
10000824,0.0043,Lemon
10000825,0.0312,Lemon
10000826,0.0301,Lemon
10000827,0.0282,Apple
10000828,0.0277,Apple
10000829,0.0063,Orange
10000830,0.0014,Lemon
10000831,0.004,Orange
10000832,0.021,Lemon
10000833,0.0195,Apple
10000834,0.0208,Apple
10000835,0.034,Apple
10000836,0.0144,Apple
10000837,0.0212,Lemon
10000838,0.0379,Orange
10000839,0.0164,Orange
10000840,0.0138,Orange
10000841,0.0074,Lemon
10000842,0.0055,Orange
10000843,0.0334,Orange
10000844,0.0019,Orange
10000845,0.0145,Apple
10000846,0.0132,Lemon
10000847,0.0006,Lemon
10000848,0.0326,Orange
10000849,0.0152,Orange
10000850,0.032,Orange
10000851,0.0059,Orange
10000852,0.0271,Lemon
10000853,0.0111,Orange
10000854,0.0114,Apple
10000855,0.0313,Lemon
10000856,0.0102,Orange
10000857,0.0213,Orange
10000858,0.0073,Orange
10000859,0.0164,Orange
10000860,0.0169,Lemon
10000861,0.0249,Orange
10000862,0.001,Lemon
10000863,0.0132,Lemon
10000864,0.0075,Lemon
10000865,0.0332,Orange
10000866,0.0259,Apple
10000867,0.0128,Lemon
10000868,0.0272,Apple
10000869,0.0186,Apple
10000870,0.0105,Apple
10000871,0.0233,Lemon
10000872,0.0097,Apple
10000873,0.0362,Lemon
10000874,0.0331,Orange
10000875,0.0147,Orange
10000876,0.0121,Lemon
10000877,0.0,Orange
10000878,0.0121,Orange
10000879,0.0368,Lemon
10000880,0.0296,Orange
10000881,0.0399,Lemon
10000882,0.0022,Lemon
10000883,0.0301,Apple
10000884,0.001,Lemon
10000885,0.018,Apple
10000886,0.027,Apple
10000887,0.0284,Lemon
10000888,0.0032,Lemon
10000889,0.0277,Apple
10000890,0.0109,Lemon
10000891,0.013,Lemon
10000892,0.019,Apple
10000893,0.0062,Apple
10000894,0.009,Apple
10000895,0.0141,Orange
10000896,0.0024,Orange
10000897,0.0069,Lemon
10000898,0.0119,Orange
10000899,0.0366,Lemon
10000900,0.0267,Lemon
10000901,0.0012,Lemon
10000902,0.0023,Apple
10000903,0.0148,Apple
10000904,0.0204,Orange
10000905,0.0118,Apple
10000906,0.0239,Orange
10000907,0.0339,Orange
10000908,0.0348,Lemon
10000909,0.0296,Lemon
10000910,0.0389,Lemon
10000911,0.0023,Lemon
10000912,0.016,Apple
10000913,0.0318,Apple
10000914,0.0111,Lemon
10000915,0.003,Orange
10000916,0.0199,Orange
10000917,0.0217,Apple
10000918,0.0031,Lemon
10000919,0.0384,Apple
10000920,0.0321,Lemon
10000921,0.0385,Apple
10000922,0.0386,Lemon
10000923,0.011,Apple
10000924,0.0171,Apple
10000925,0.0232,Lemon
10000926,0.0,Apple
10000927,0.0012,Apple
10000928,0.0082,Lemon
10000929,0.0117,Apple
10000930,0.0093,Lemon
10000931,0.025,Apple
10000932,0.0375,Apple
10000933,0.0073,Orange
10000934,0.0212,Orange
10000935,0.0044,Orange
10000936,0.0178,Orange
10000937,0.034,Lemon
10000938,0.0183,Orange
10000939,0.0015,Lemon
10000940,0.0058,Orange
10000941,0.0007,Orange
10000942,0.0089,Lemon
10000943,0.0163,Apple
10000944,0.035,Lemon
10000945,0.0226,Apple
10000946,0.0357,Apple
10000947,0.0227,Orange
10000948,0.0223,Lemon
10000949,0.0263,Apple
10000950,0.0321,Lemon
10000951,0.0116,Apple
10000952,0.0075,Orange
10000953,0.031,Apple
10000954,0.0206,Orange
10000955,0.0249,Apple
10000956,0.0055,Orange
10000957,0.0295,Orange
10000958,0.0125,Orange
10000959,0.0169,Orange
10000960,0.0088,Lemon
10000961,0.0201,Orange
10000962,0.0381,Lemon
10000963,0.0044,Lemon
10000964,0.0383,Orange
10000965,0.0084,Apple
10000966,0.0034,Apple
10000967,0.0137,Orange
10000968,0.022,Apple
10000969,0.0391,Lemon
10000970,0.0028,Apple
10000971,0.0141,Orange
10000972,0.0228,Orange
10000973,0.0208,Lemon
10000974,0.0185,Apple
10000975,0.0113,Apple
10000976,0.0357,Apple
10000977,0.0135,Lemon
10000978,0.0353,Apple
10000979,0.0054,Lemon
10000980,0.013,Lemon
10000981,0.0371,Orange
10000982,0.0055,Lemon
10000983,0.0399,Lemon
10000984,0.0266,Apple
10000985,0.0327,Apple
10000986,0.028,Lemon
10000987,0.021,Lemon
10000988,0.0257,Orange
10000989,0.0231,Apple
10000990,0.0203,Lemon
10000991,0.0172,Lemon
10000992,0.0084,Apple
10000993,0.0074,Orange
10000994,0.0199,Apple
10000995,0.0263,Orange
10000996,0.0152,Lemon
10000997,0.025,Orange
10000998,0.0243,Orange
10000999,0.0153,Lemon
10001000,0.0372,Apple
10001001,0.012,Lemon
10001002,0.0229,Orange
10001003,0.0283,Lemon
10001004,0.0338,Apple
10001005,0.0074,Orange
10001006,0.0029,Apple
10001007,0.0289,Apple
10001008,0.0218,Apple
10001009,0.0371,Apple
10001010,0.0373,Orange
10001011,0.0237,Orange
10001012,0.0233,Orange
10001013,0.0154,Orange
10001014,0.019,Lemon
10001015,0.0325,Apple
10001016,0.0382,Lemon
10001017,0.0262,Orange
10001018,0.0081,Lemon
10001019,0.0205,Apple
10001020,0.0226,Apple
10001021,0.0333,Apple
10001022,0.0201,Apple
10001023,0.0269,Apple
10001024,0.0303,Orange
10001025,0.0318,Orange
10001026,0.0015,Apple
10001027,0.0029,Lemon
10001028,0.0193,Apple
10001029,0.0219,Orange
10001030,0.0369,Apple
10001031,0.0043,Orange
10001032,0.0229,Apple
10001033,0.0098,Orange
10001034,0.006,Orange
10001035,0.021,Lemon
10001036,0.0252,Lemon
10001037,0.0325,Apple
10001038,0.0197,Apple
10001039,0.0201,Apple
10001040,0.0328,Orange
10001041,0.0362,Lemon
10001042,0.0371,Orange
10001043,0.0387,Orange
10001044,0.0344,Apple
10001045,0.003,Orange
10001046,0.0171,Lemon
10001047,0.009,Orange
10001048,0.0144,Orange
10001049,0.0025,Orange
10001050,0.0231,Orange
10001051,0.037,Apple
10001052,0.0165,Lemon
10001053,0.0338,Orange
